"filename", "language", "TypeScript", "JSON", "JavaScript", "SCSS", "TypeScript React", "XML", "JavaScript React", "YAML", "Docker", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\customersuitability.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds copy.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebondsblue.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds copy.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\efundsblue.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel copy.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintelblue.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\email.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth copy.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealthblue.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\fintech.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24color.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24grey.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\hegdefunds.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\insurancecompanies.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\mutualfunds.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\offshoreinvestors.svg", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\onshoreinvestors.svg", "XML", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 1, 148
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ouraproach.svg", "XML", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 1, 231
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourclients.svg", "XML", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 1, 138
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourservice.svg", "XML", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 1, 225
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourteamplaceholder.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourvalues.svg", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\pensionfunds.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\reuterscolor.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\reutersgrey.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\voacolor.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\voagrey.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\whyemfi.svg", "XML", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 63
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\Group 10808.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\aljazeera color.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\aljazeera grey.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\bloomberg color.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\bloomberg grey.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\chantham house color.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\chantham house grey.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\france 24 color.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\france 24 grey.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
